timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1696789297257,24517,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-31,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24517
1696789297435,24338,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-388,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24338
1696789297364,24409,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-295,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24409
1696789297373,24400,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-329,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24400
1696789297311,24462,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-206,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24462
1696789297253,24520,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-88,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24520
1696789297199,24575,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-158,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24575
1696789297382,24392,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-341,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24392
1696789297448,24326,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-408,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24326
1696789297260,24514,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-93,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24514
1696789297452,24322,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-377,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24322
1696789297257,24517,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-105,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24517
1696789297365,24409,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-321,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24409
1696789297442,24332,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-359,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24332
